,Brand,Model,Processor,Ram,OS,Storage,OrginalPrice,Discount,Price,Rating
20,['ASUS'],ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,['Intel Core i5 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],"['1 TB HDD', '256 GB SSD']","₹77,990",25% off,"₹57,990",4.3
21,['acer'],acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,,['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['512 GB SSD'],"₹89,999",41% off,"₹52,990",4.4
22,['HP'],HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10 Home) 15s-GY0501AU Thin and Light Laptop,['AMD Ryzen 3 Dual Core Processor'],['8 GB DDR4 RAM'],['64 bit Windows 11 Operating System'],['256 GB SSD'],"₹47,267",16% off,"₹39,490",4.3
23,['MSI'],MSI GF63 Thin Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 305...,['Intel Core i5 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['512 GB SSD'],"₹83,990",20% off,"₹66,990",4.5
24,['Lenovo'],Lenovo Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) 15IML05 Thin and Light Laptop,['Intel Core i3 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 11 Operating System'],['1 TB HDD'],"₹57,990",31% off,"₹39,490",3.4
25,['ASUS'],ASUS VivoBook 15 (2021) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X515EA-EJ502TS T...,['Intel Core i5 Processor'],['8 GB DDR4 RAM'],,"['1 TB HDD', '256 GB SSD']","₹70,990",22% off,"₹55,190",4.3
26,['ASUS'],ASUS VivoBook K15 OLED (2021) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) K513EA-L302TS Thin ...,['Intel Core i3 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['256 GB SSD'],"₹58,990",20% off,"₹46,990",4.5
27,['Nokia'],Nokia PureBook S14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) NKi510TL85S Thin and Light Lap...,['Intel Core i5 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['512 GB SSD'],"₹74,990",32% off,"₹50,990",5
28,['DELL'],DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3515 Thin and Light...,['AMD Ryzen 3 Dual Core Processor'],['8 GB DDR4 RAM'],['64 bit Windows 11 Operating System'],['256 GB SSD'],"₹52,605",24% off,"₹39,890",4.7
29,['DELL'],DELL Vostro Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10) vostro 3400 Thin and Light Laptop,['Intel Core i3 Processor'],['8 GB DDR4 RAM'],['64 bit Windows 10 Operating System'],['1 TB HDD'],"₹41,715",1% off,"₹40,990",4
